127.0.0.1 - - [20/Nov/2023:17:44:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:35 +0900] "GET /MAIN/login.jsp HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:35 +0900] "GET /MAIN/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:35 +0900] "GET /MAIN/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:35 +0900] "GET /MAIN/img/mypage.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:35 +0900] "GET /MAIN/img/lookaround.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:35 +0900] "GET /MAIN/img/pixel_search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:35 +0900] "GET /MAIN/css/ms_sans_serif.woff2 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:47 +0900] "POST /MAIN/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:47 +0900] "GET /MAIN/MyPlaylist.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:47 +0900] "GET /MAIN/img/Save.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:47 +0900] "GET /MAIN/css/ms_sans_serif.woff2 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:49 +0900] "GET /MAIN/MyPlaylist.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:49 +0900] "GET /MAIN/css/ms_sans_serif.woff2 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:50 +0900] "GET /MAIN/music_search.jsp HTTP/1.1" 200 3975
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:50 +0900] "GET /MAIN/css/search.css HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:50 +0900] "GET /MAIN/img/%EC%83%A4%EC%9D%B4%EB%8B%88%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 29584
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:50 +0900] "GET /MAIN/css/ms_sans_serif.woff2 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:44:52 +0900] "GET /MAIN/music_search.jsp HTTP/1.1" 200 3975
